PriceCategory,Prefecture,Municipality,DistrictName,TradePrice,Area,BuildingYear,Period,UnitPrice,Age,Latitude,Longitude
成約価格情報,福岡県,北九州市門司区,黄金町,23000000,85.0,2014,2021,892941.1764705882,7,33.908652,130.938902
成約価格情報,福岡県,北九州市門司区,大里東,12000000,70.0,1994,2021,565714.2857142857,27,33.9139376,130.9443322
成約価格情報,福岡県,北九州市門司区,大里本町,34000000,100.0,2010,2021,1122000.0,11,33.909066333333335,130.93354266666665
成約価格情報,福岡県,北九州市門司区,大里本町,17000000,55.0,2010,2021,1020000.0,11,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,清見,11000000,80.0,1997,2021,453750.0,24,33.9505535,130.97989124999998
不動産取引価格情報,福岡県,北九州市門司区,小松町,8600000,65.0,1996,2021,436615.3846153846,25,33.89521,130.936056
成約価格情報,福岡県,北九州市門司区,北川町,4800000,80.0,1988,2021,198000.0,33,33.921977,130.944578
成約価格情報,福岡県,北九州市門司区,清見,11000000,85.0,1997,2021,427058.82352941175,24,33.9505535,130.97989124999998
成約価格情報,福岡県,北九州市門司区,大字畑,8700000,75.0,1992,2021,382800.0,29,33.88451,130.963202
不動産取引価格情報,福岡県,北九州市門司区,大里戸ノ上,22000000,85.0,2010,2021,854117.6470588235,11,33.90429225,130.94194675
成約価格情報,福岡県,北九州市門司区,泉ケ丘,5500000,70.0,1990,2021,259285.71428571426,31,33.891163,130.935003
成約価格情報,福岡県,北九州市門司区,泉ケ丘,6000000,70.0,1990,2021,282857.14285714284,31,33.891163,130.935003
成約価格情報,福岡県,北九州市門司区,大里本町,36000000,115.0,2010,2021,1033043.4782608695,11,33.909066333333335,130.93354266666665
成約価格情報,福岡県,北九州市門司区,港町,14000000,55.0,2008,2021,840000.0,13,33.946085,130.964353
不動産取引価格情報,福岡県,北九州市門司区,港町,14000000,55.0,2008,2021,840000.0,13,33.946085,130.964353
不動産取引価格情報,福岡県,北九州市門司区,藤松,9800000,65.0,1987,2021,497538.46153846156,34,33.886326333333336,130.92508166666667
不動産取引価格情報,福岡県,北九州市門司区,東港町,21000000,70.0,1999,2021,990000.0,22,33.950406,130.964052
不動産取引価格情報,福岡県,北九州市門司区,東新町,16000000,80.0,1997,2021,660000.0,24,33.8924535,130.9246265
不動産取引価格情報,福岡県,北九州市門司区,東新町,14000000,70.0,2001,2021,660000.0,20,33.8924535,130.9246265
成約価格情報,福岡県,北九州市門司区,原町別院,8000000,55.0,1973,2021,479999.99999999994,48,33.897969,130.930187
成約価格情報,福岡県,北九州市門司区,梅ノ木町,8500000,70.0,1995,2021,400714.28571428574,26,33.908549,130.935677
成約価格情報,福岡県,北九州市門司区,西新町,8000000,85.0,1986,2021,310588.2352941176,35,33.890579,130.919973
不動産取引価格情報,福岡県,北九州市門司区,西新町,8000000,80.0,1986,2021,330000.0,35,33.890579,130.919973
不動産取引価格情報,福岡県,北九州市門司区,中二十町,10000000,65.0,2001,2021,507692.30769230763,20,33.909868,130.942597
成約価格情報,福岡県,北九州市門司区,緑ケ丘,9500000,90.0,1990,2021,348333.3333333333,31,33.884259,130.930908
成約価格情報,福岡県,北九州市門司区,浜町,29000000,70.0,2019,2021,1367142.857142857,2,33.949534,130.9664
成約価格情報,福岡県,北九州市門司区,清滝,29000000,80.0,2017,2021,1196250.0,4,33.942030200000005,130.96339819999997
成約価格情報,福岡県,北九州市門司区,梅ノ木町,15000000,70.0,1995,2021,707142.8571428572,26,33.908549,130.935677
成約価格情報,福岡県,北九州市門司区,稲積,7800000,75.0,1990,2021,343200.0,31,33.8871965,130.9284005
成約価格情報,福岡県,北九州市門司区,小松町,15000000,70.0,1996,2021,707142.8571428572,25,33.89521,130.936056
成約価格情報,福岡県,北九州市門司区,小松町,15000000,70.0,1996,2021,707142.8571428572,25,33.89521,130.936056
不動産取引価格情報,福岡県,北九州市門司区,清見,6500000,65.0,1997,2021,330000.0,24,33.9505535,130.97989124999998
成約価格情報,福岡県,北九州市門司区,大里本町,28000000,110.0,2010,2021,840000.0,11,33.909066333333335,130.93354266666665
成約価格情報,福岡県,北九州市門司区,泉ケ丘,5000000,60.0,1990,2021,274999.99999999994,31,33.891163,130.935003
不動産取引価格情報,福岡県,北九州市門司区,下馬寄,11000000,60.0,1994,2021,605000.0,27,33.896082,130.928382
成約価格情報,福岡県,北九州市門司区,北川町,4000000,95.0,1988,2021,138947.36842105264,33,33.921977,130.944578
成約価格情報,福岡県,北九州市門司区,永黒,4900000,65.0,1984,2021,248769.23076923078,37,33.909397,130.9498935
成約価格情報,福岡県,北九州市門司区,原町別院,3400000,55.0,1973,2021,203999.99999999997,48,33.897969,130.930187
不動産取引価格情報,福岡県,北九州市門司区,柳原町,20000000,95.0,2002,2021,694736.8421052631,19,33.896788,130.934034
不動産取引価格情報,福岡県,北九州市門司区,吉志,4300000,70.0,1989,2021,202714.2857142857,32,33.86749714285714,130.96628528571426
不動産取引価格情報,福岡県,北九州市門司区,黄金町,22000000,80.0,2014,2021,907500.0,7,33.908652,130.938902
不動産取引価格情報,福岡県,北九州市門司区,黄金町,23000000,80.0,2008,2021,948750.0,13,33.908652,130.938902
不動産取引価格情報,福岡県,北九州市門司区,大里本町,18000000,70.0,2010,2021,848571.4285714285,11,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,大里本町,39000000,110.0,2010,2021,1170000.0,11,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,大里本町,34000000,95.0,2010,2021,1181052.6315789474,11,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,中二十町,19000000,65.0,2001,2021,964615.3846153846,20,33.909868,130.942597
不動産取引価格情報,福岡県,北九州市門司区,大里戸ノ上,18000000,70.0,2010,2021,848571.4285714285,11,33.90429225,130.94194675
不動産取引価格情報,福岡県,北九州市門司区,清滝,26000000,80.0,2014,2021,1072500.0,7,33.942030200000005,130.96339819999997
不動産取引価格情報,福岡県,北九州市門司区,東門司,14000000,65.0,1996,2021,710769.2307692308,25,33.948252499999995,130.9724865
不動産取引価格情報,福岡県,北九州市門司区,小松町,9500000,75.0,1996,2021,418000.0,25,33.89521,130.936056
成約価格情報,福岡県,北九州市門司区,大里本町,22000000,80.0,2013,2021,907500.0,8,33.909066333333335,130.93354266666665
成約価格情報,福岡県,北九州市門司区,旧門司,11000000,75.0,2002,2021,483999.99999999994,19,33.954876,130.9666325
不動産取引価格情報,福岡県,北九州市門司区,二タ松町,8900000,75.0,2000,2021,391600.0,21,33.927969,130.945472
不動産取引価格情報,福岡県,北九州市門司区,高田,21000000,55.0,2016,2021,1260000.0,5,33.9004675,130.93496399999998
不動産取引価格情報,福岡県,北九州市門司区,大里本町,22000000,75.0,2013,2021,967999.9999999999,8,33.909066333333335,130.93354266666665
不動産取引価格情報,福岡県,北九州市門司区,旧門司,7800000,95.0,1989,2021,270947.3684210526,32,33.954876,130.9666325
不動産取引価格情報,福岡県,北九州市門司区,柳町,18000000,90.0,2000,2021,660000.0,21,33.90272025,130.938245
成約価格情報,福岡県,北九州市門司区,下二十町,4200000,75.0,1980,2021,184800.0,41,33.911685,130.939837
成約価格情報,福岡県,北九州市門司区,東港町,40000000,135.0,1999,2021,977777.7777777778,22,33.950406,130.964052
不動産取引価格情報,福岡県,北九州市若松区,二島,7900000,75.0,1991,2021,347599.99999999994,30,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市若松区,迫田町,2300000,65.0,1983,2021,116769.23076923075,38,33.914098,130.786272
不動産取引価格情報,福岡県,北九州市若松区,浜町,3500000,65.0,1990,2021,177692.3076923077,31,33.907242333333336,130.81070266666666
成約価格情報,福岡県,北九州市若松区,本町,17000000,85.0,2000,2021,660000.0,21,33.90296433333333,130.80985633333333
成約価格情報,福岡県,北九州市若松区,二島,4800000,70.0,1990,2021,226285.71428571426,31,33.89316650000001,130.7430675
成約価格情報,福岡県,北九州市若松区,二島,19000000,95.0,2008,2021,660000.0,13,33.89316650000001,130.7430675
不動産取引価格情報,福岡県,北九州市若松区,二島,19000000,85.0,2008,2021,737647.0588235294,13,33.89316650000001,130.7430675
不動産取引価格情報,福岡県,北九州市若松区,北湊町,7000000,80.0,1996,2021,288750.0,25,33.915935,130.804189
