PriceCategory,Prefecture,Municipality,DistrictName,Period,UnitPrice
不動産取引価格情報,福岡県,北九州市門司区,大里戸ノ上,2021-1Q,854117.6470588235
成約価格情報,福岡県,北九州市門司区,泉ケ丘,2021-1Q,259285.71428571426
成約価格情報,福岡県,北九州市門司区,泉ケ丘,2021-1Q,282857.14285714284
成約価格情報,福岡県,北九州市門司区,大里本町,2021-1Q,1033043.4782608695
成約価格情報,福岡県,北九州市門司区,港町,2021-1Q,840000.0
不動産取引価格情報,福岡県,北九州市門司区,港町,2021-1Q,840000.0
成約価格情報,福岡県,北九州市門司区,北川町,2021-1Q,138947.36842105264
成約価格情報,福岡県,北九州市門司区,永黒,2021-1Q,248769.23076923078
成約価格情報,福岡県,北九州市門司区,原町別院,2021-1Q,203999.99999999997
不動産取引価格情報,福岡県,北九州市門司区,柳原町,2021-1Q,694736.8421052631
不動産取引価格情報,福岡県,北九州市門司区,吉志,2021-1Q,202714.2857142857
成約価格情報,福岡県,北九州市若松区,ひびきの南,2021-1Q,761538.4615384615
成約価格情報,福岡県,北九州市若松区,高須東,2021-1Q,880000.0
不動産取引価格情報,福岡県,北九州市若松区,二島,2021-1Q,270000.0
成約価格情報,福岡県,北九州市戸畑区,銀座,2021-1Q,776470.5882352941
不動産取引価格情報,福岡県,北九州市戸畑区,千防,2021-1Q,964615.3846153846
不動産取引価格情報,福岡県,北九州市戸畑区,中原西,2021-1Q,181500.0
不動産取引価格情報,福岡県,北九州市戸畑区,中原西,2021-1Q,379500.0
不動産取引価格情報,福岡県,北九州市戸畑区,中原西,2021-1Q,471428.5714285714
成約価格情報,福岡県,北九州市戸畑区,浅生,2021-1Q,310588.2352941176
成約価格情報,福岡県,北九州市戸畑区,中原西,2021-1Q,307999.99999999994
成約価格情報,福岡県,北九州市戸畑区,牧山新町,2021-1Q,141428.57142857142
成約価格情報,福岡県,北九州市戸畑区,牧山新町,2021-1Q,141428.57142857142
不動産取引価格情報,福岡県,北九州市戸畑区,銀座,2021-1Q,934999.9999999999
成約価格情報,福岡県,北九州市戸畑区,沖台,2021-1Q,330000.0
成約価格情報,福岡県,北九州市戸畑区,銀座,2021-1Q,863076.923076923
成約価格情報,福岡県,北九州市小倉北区,片野,2021-1Q,801428.5714285715
成約価格情報,福岡県,北九州市小倉北区,木町,2021-1Q,1225714.2857142857
成約価格情報,福岡県,北九州市小倉北区,木町,2021-1Q,511500.0
成約価格情報,福岡県,北九州市小倉北区,熊本,2021-1Q,486315.78947368416
成約価格情報,福岡県,北九州市小倉北区,熊本,2021-1Q,427058.82352941175
成約価格情報,福岡県,北九州市小倉北区,古船場町,2021-1Q,549999.9999999999
成約価格情報,福岡県,北九州市小倉北区,弁天町,2021-1Q,783750.0
成約価格情報,福岡県,北九州市小倉北区,弁天町,2021-1Q,1237500.0
成約価格情報,福岡県,北九州市小倉北区,都,2021-1Q,406153.8461538461
成約価格情報,福岡県,北九州市小倉北区,都,2021-1Q,434499.99999999994
成約価格情報,福岡県,北九州市小倉北区,吉野町,2021-1Q,146666.66666666666
不動産取引価格情報,福岡県,北九州市小倉北区,井堀,2021-1Q,1037142.857142857
不動産取引価格情報,福岡県,北九州市小倉北区,大手町,2021-1Q,1084285.7142857143
不動産取引価格情報,福岡県,北九州市小倉北区,金田,2021-1Q,228461.53846153847
不動産取引価格情報,福岡県,北九州市小倉北区,昭和町,2021-1Q,770000.0
不動産取引価格情報,福岡県,北九州市小倉北区,昭和町,2021-1Q,895714.2857142857
不動産取引価格情報,福岡県,北九州市小倉北区,馬借,2021-1Q,1650000.0
不動産取引価格情報,福岡県,北九州市小倉北区,日明,2021-1Q,282857.14285714284
不動産取引価格情報,福岡県,北九州市小倉北区,日明,2021-1Q,73333.33333333333
不動産取引価格情報,福岡県,北九州市小倉北区,東篠崎,2021-1Q,274999.99999999994
不動産取引価格情報,福岡県,北九州市小倉北区,東篠崎,2021-1Q,304615.3846153846
成約価格情報,福岡県,北九州市小倉北区,大手町,2021-1Q,880000.0
成約価格情報,福岡県,北九州市小倉北区,大手町,2021-1Q,733333.3333333333
成約価格情報,福岡県,北九州市小倉北区,片野新町,2021-1Q,220000.0
成約価格情報,福岡県,北九州市小倉北区,金田,2021-1Q,1026666.6666666666
成約価格情報,福岡県,北九州市小倉北区,金田,2021-1Q,429000.0
成約価格情報,福岡県,北九州市小倉北区,香春口,2021-1Q,812307.6923076923
成約価格情報,福岡県,北九州市小倉北区,香春口,2021-1Q,710769.2307692308
成約価格情報,福岡県,北九州市小倉北区,京町,2021-1Q,2273333.333333333
成約価格情報,福岡県,北九州市小倉北区,三萩野,2021-1Q,1980000.0
成約価格情報,福岡県,北九州市小倉北区,室町,2021-1Q,1980000.0
不動産取引価格情報,福岡県,北九州市小倉北区,鍛冶町,2021-1Q,239250.0
